ticker,hot?,Note,Company name,Market segment,Market Cap (B),Fast grow?,HC change (%),tech/analyst,post gain $,2nd day gain %,EPS Q estimate,EPS Q actual,EPS beat %,Revenue Q estimate,revenue Q actual,Revenue Q Beat %,EPS Q last year,EPS YoY %,Revenue Q last year,Revenue YoY %,Revenue last Q YoY %
WAFD,,,WAFD,Finance,2.56,,,,,,0.77,0.72,-5.88%,0.19B,0.19B,-1.19%,0.71,1.41%,0.19B,-0.21%,-1.29%
SIFY,,,SIFY,Technology Services,1.05,,,,,,-0.01,-0.01,0.51%,0.17B,0.16B,-6.78%,,,,,
LFCR,,,LFCR,Health Technology,0.29,,,,,,-0.10,-0.06,36.84%,0.04B,0.04B,3.02%,0.08,-175.00%,0.04B,-3.82%,-7.23%
LOOP,,,LOOP,Process Industries,0.05,,,,,,-0.07,-0.07,0.00%,0.00B,,,0.05,-240.00%,,,
VMAR,,,VMAR,Consumer Durables,0.00,,,,,,-1.62,,,0.00B,,,,,,,
BMXI,,,BMXI,Non-Energy Minerals,0.00,,,,,,,,,,,,,,,,
